order_id,customer_id,product_id,order_date,quantity,unit_price,total_amount,payment_method,order_status
1237,249,1,2024-02-08,3,11.53,34.59,Tarjeta de débito,Completada
1891,327,98,2024-02-08,4,265.91,1063.64,Tarjeta de crédito,Completada
1643,187,101,2024-02-09,3,27.42,82.26,Transferencia,Completada
456,479,132,2024-02-09,2,139.77,279.54,Billetera virtual,Cancelada
888,330,36,2024-02-09,2,55.34,110.68,Tarjeta de débito,Completada
2414,494,81,2024-02-09,2,1144.0,2288.0,Transferencia,Completada
69,1,97,2024-02-09,4,578.69,2314.76,Tarjeta de crédito,Completada
2741,456,43,2024-02-10,2,296.19,592.38,Transferencia,Completada
191,130,150,2024-02-12,2,63.38,126.76,Transferencia,Completada
570,191,78,2024-02-12,4,273.68,1094.72,Tarjeta de débito,Completada
2961,303,83,2024-02-12,3,37.39,112.17,Billetera virtual,Completada
1363,399,56,2024-02-12,1,1008.65,1008.65,Tarjeta de crédito,Completada
1875,466,147,2024-02-13,3,907.87,2723.61,Tarjeta de crédito,Completada
43,113,64,2024-02-14,2,97.83,195.66,Billetera virtual,Completada
1276,311,135,2024-02-14,1,167.67,167.67,Tarjeta de crédito,Completada
1120,416,16,2024-02-14,1,188.57,188.57,Tarjeta de crédito,Completada
292,172,61,2024-02-14,4,52.25,209.0,Transferencia,Completada
743,69,59,2024-02-15,1,199.85,199.85,Tarjeta de débito,Cancelada
1180,191,47,2024-02-15,4,63.67,254.68,Tarjeta de crédito,Completada
514,437,123,2024-02-16,2,78.6,157.2,Tarjeta de crédito,Completada
108,202,88,2024-02-16,3,53.48,160.44,Tarjeta de crédito,Completada
687,288,119,2024-02-16,1,350.27,350.27,Billetera virtual,Completada
543,27,138,2024-02-17,2,10.96,21.92,Tarjeta de crédito,Completada
897,197,134,2024-02-17,4,24.19,96.76,Tarjeta de crédito,Completada
358,325,2,2024-02-17,2,148.77,297.54,Tarjeta de débito,Completada
411,345,123,2024-02-17,1,78.6,78.6,Transferencia,Completada
1685,133,83,2024-02-18,4,37.39,149.56,Transferencia,Completada
516,30,107,2024-02-19,3,241.46,724.38,Tarjeta de crédito,Completada
1993,101,83,2024-02-19,2,37.39,74.78,Transferencia,Completada
869,375,126,2024-02-20,4,130.81,523.24,Transferencia,Completada
1938,442,52,2024-02-20,3,83.1,249.3,Tarjeta de débito,Completada
319,456,115,2024-02-20,2,384.44,768.88,Tarjeta de crédito,Completada
416,196,113,2024-02-20,4,261.05,1044.2,Transferencia,Completada
1633,396,13,2024-02-20,2,218.14,436.28,Tarjeta de débito,Completada
1586,120,10,2024-02-20,4,146.44,585.76,Tarjeta de crédito,Completada
2658,248,60,2024-02-21,1,176.61,176.61,Tarjeta de débito,Completada
1968,409,118,2024-02-21,4,34.12,136.48,Tarjeta de débito,Completada
961,419,46,2024-02-21,3,458.9,1376.7,Tarjeta de débito,Completada
405,127,31,2024-02-21,4,72.17,288.68,Billetera virtual,Completada
1026,125,122,2024-02-21,3,140.01,420.03,Billetera virtual,Cancelada
1894,455,91,2024-02-21,1,1005.99,1005.99,Billetera virtual,Completada
2805,425,146,2024-02-21,2,183.15,366.3,Tarjeta de débito,Completada
1953,1,84,2024-02-21,4,114.71,458.84,Tarjeta de débito,Completada
683,382,140,2024-02-22,1,580.95,580.95,Tarjeta de crédito,Completada
1655,204,117,2024-02-22,1,553.19,553.19,Billetera virtual,Completada
1473,498,127,2024-02-23,4,354.42,1417.68,Transferencia,Completada
1804,289,50,2024-02-23,1,169.82,169.82,Transferencia,Completada
1595,32,109,2024-02-23,2,34.85,69.7,Tarjeta de débito,Completada
2889,309,78,2024-02-24,1,273.68,273.68,Transferencia,Completada
916,305,48,2024-02-25,2,97.9,195.8,Tarjeta de débito,Completada
2444,461,70,2024-02-25,3,99.49,298.47,Tarjeta de débito,Completada
109,148,86,2024-02-25,1,213.88,213.88,Tarjeta de crédito,Completada
1881,283,86,2024-02-26,2,213.88,427.76,Tarjeta de crédito,Completada
2718,59,133,2024-02-26,2,713.32,1426.64,Billetera virtual,Completada
1413,31,30,2024-02-26,1,221.66,221.66,Tarjeta de débito,Cancelada
541,266,97,2024-02-26,4,578.69,2314.76,Tarjeta de crédito,Cancelada
2878,179,143,2024-02-27,3,248.99,746.97,Tarjeta de crédito,Completada
1432,372,19,2024-02-27,1,92.82,92.82,Tarjeta de crédito,Completada
1453,455,24,2024-02-27,4,231.71,926.84,Tarjeta de crédito,Completada
326,214,45,2024-02-28,4,85.76,343.04,Tarjeta de crédito,Completada
1277,376,86,2024-02-28,1,213.88,213.88,Tarjeta de crédito,Completada
2926,121,21,2024-02-28,2,441.16,882.32,Billetera virtual,Completada
986,413,46,2024-02-29,4,458.9,1835.6,Tarjeta de crédito,Completada
2117,219,76,2024-02-29,1,111.18,111.18,Tarjeta de crédito,Completada
1487,342,115,2024-02-29,4,384.44,1537.76,Tarjeta de crédito,Completada
2149,318,2,2024-02-29,4,148.77,595.08,Tarjeta de crédito,Completada
2851,466,25,2024-03-01,4,76.75,307.0,Billetera virtual,Completada
2603,185,74,2024-03-01,4,650.9,2603.6,Tarjeta de débito,Completada
1745,181,21,2024-03-01,4,441.16,1764.64,Tarjeta de crédito,Completada
740,496,38,2024-03-02,4,93.08,372.32,Tarjeta de crédito,Completada
449,401,77,2024-03-02,3,36.9,110.7,Tarjeta de débito,Completada
320,2,122,2024-03-02,1,140.01,140.01,Billetera virtual,Completada
2536,382,129,2024-03-02,4,128.49,513.96,Billetera virtual,Completada
1344,283,93,2024-03-02,1,260.51,260.51,Tarjeta de crédito,Completada
2056,463,104,2024-03-03,4,85.81,343.24,Transferencia,Cancelada
1966,357,8,2024-03-03,3,129.5,388.5,Billetera virtual,Completada
223,228,101,2024-03-03,1,27.42,27.42,Tarjeta de crédito,Completada
755,207,28,2024-03-03,2,170.65,341.3,Billetera virtual,Completada
601,490,71,2024-03-03,4,98.46,393.84,Tarjeta de crédito,Completada
2392,351,147,2024-03-04,1,907.87,907.87,Billetera virtual,Completada
2435,279,130,2024-03-04,2,68.82,137.64,Billetera virtual,Completada
2938,244,126,2024-03-04,1,130.81,130.81,Transferencia,Completada
2982,474,124,2024-03-04,1,37.77,37.77,Transferencia,Completada
1269,147,10,2024-03-04,1,146.44,146.44,Tarjeta de crédito,Completada
424,408,91,2024-03-04,2,1005.99,2011.98,Tarjeta de crédito,Completada
1123,350,146,2024-03-04,3,183.15,549.45,Tarjeta de crédito,Completada
675,423,18,2024-03-05,1,213.72,213.72,Tarjeta de crédito,Completada
2531,334,114,2024-03-05,3,362.33,1086.99,Billetera virtual,Completada
1701,291,25,2024-03-05,3,76.75,230.25,Tarjeta de débito,Completada
1360,500,72,2024-03-05,2,91.98,183.96,Tarjeta de crédito,Completada
1334,272,33,2024-03-06,3,193.34,580.02,Tarjeta de crédito,Completada
717,268,75,2024-03-06,3,142.36,427.08,Transferencia,Completada
2169,177,28,2024-03-07,2,170.65,341.3,Tarjeta de crédito,Completada
1605,76,101,2024-03-07,3,27.42,82.26,Transferencia,Completada
1243,138,26,2024-03-07,2,171.04,342.08,Tarjeta de crédito,Completada
2835,270,55,2024-03-07,1,844.98,844.98,Tarjeta de crédito,Completada
339,265,130,2024-03-07,2,68.82,137.64,Tarjeta de crédito,Cancelada
959,74,132,2024-03-08,1,139.77,139.77,Transferencia,Completada
2706,131,45,2024-03-08,1,85.76,85.76,Billetera virtual,Completada
18,375,115,2024-03-08,1,384.44,384.44,Tarjeta de crédito,Completada
2664,3,146,2024-03-08,2,183.15,366.3,Billetera virtual,Completada
766,330,6,2024-03-08,2,134.96,269.92,Billetera virtual,Completada
1254,248,33,2024-03-08,1,193.34,193.34,Tarjeta de débito,Completada
710,427,22,2024-03-09,3,383.43,1150.29,Tarjeta de débito,Completada
157,328,117,2024-03-09,1,553.19,553.19,Billetera virtual,Completada
589,353,103,2024-03-09,3,535.68,1607.04,Tarjeta de crédito,Completada
1593,142,77,2024-03-09,1,36.9,36.9,Transferencia,Completada
1672,355,5,2024-03-10,4,320.02,1280.08,Tarjeta de crédito,Completada
1823,274,126,2024-03-10,4,130.81,523.24,Tarjeta de crédito,Completada
1577,245,94,2024-03-10,3,83.73,251.19,Tarjeta de débito,Completada
604,328,69,2024-03-10,1,787.04,787.04,Tarjeta de crédito,Completada
2236,299,93,2024-03-11,1,260.51,260.51,Tarjeta de crédito,Completada
419,145,112,2024-03-11,4,79.2,316.8,Tarjeta de crédito,Completada
1787,435,19,2024-03-11,1,92.82,92.82,Tarjeta de crédito,Completada
1549,386,93,2024-03-11,3,260.51,781.53,Tarjeta de débito,Completada
545,85,120,2024-03-11,4,206.18,824.72,Tarjeta de débito,Completada
1947,264,135,2024-03-12,1,167.67,167.67,Tarjeta de crédito,Completada
500,142,130,2024-03-12,3,68.82,206.46,Tarjeta de crédito,Completada
1877,24,58,2024-03-13,2,112.95,225.9,Tarjeta de crédito,Completada
637,459,126,2024-03-13,2,130.81,261.62,Tarjeta de crédito,Completada
287,301,73,2024-03-13,1,62.82,62.82,Tarjeta de crédito,Completada
2492,110,35,2024-03-13,2,840.54,1681.08,Billetera virtual,Completada
882,249,48,2024-03-14,3,97.9,293.7,Tarjeta de crédito,Completada
1401,261,22,2024-03-14,3,383.43,1150.29,Transferencia,Cancelada
260,260,17,2024-03-14,3,111.6,334.8,Tarjeta de crédito,Completada
709,399,33,2024-03-15,1,193.34,193.34,Billetera virtual,Completada
927,389,111,2024-03-15,3,312.56,937.68,Tarjeta de débito,Completada
17,185,38,2024-03-16,1,93.08,93.08,Tarjeta de débito,Completada
2287,93,102,2024-03-16,1,275.73,275.73,Transferencia,Completada
790,432,112,2024-03-16,1,79.2,79.2,Tarjeta de crédito,Completada
2865,45,70,2024-03-16,1,99.49,99.49,Tarjeta de crédito,Cancelada
705,252,49,2024-03-17,1,190.42,190.42,Transferencia,Completada
1935,334,139,2024-03-17,3,75.42,226.26,Tarjeta de débito,Completada
1619,159,33,2024-03-18,4,193.34,773.36,Tarjeta de débito,Completada
1955,161,97,2024-03-18,4,578.69,2314.76,Tarjeta de crédito,Completada
1799,412,86,2024-03-18,4,213.88,855.52,Billetera virtual,Completada
2808,448,12,2024-03-19,2,20.02,40.04,Tarjeta de crédito,Completada
1438,152,18,2024-03-19,1,213.72,213.72,Transferencia,Completada
2400,495,36,2024-03-19,2,55.34,110.68,Tarjeta de crédito,Completada
2349,200,2,2024-03-19,3,148.77,446.31,Tarjeta de crédito,Completada
2751,106,114,2024-03-19,1,362.33,362.33,Billetera virtual,Completada
602,416,8,2024-03-20,4,129.5,518.0,Tarjeta de crédito,Cancelada
166,492,90,2024-03-20,1,52.39,52.39,Billetera virtual,Cancelada
63,402,149,2024-03-20,4,163.12,652.48,Tarjeta de débito,Completada
325,225,67,2024-03-21,2,17.83,35.66,Tarjeta de crédito,Completada
866,392,15,2024-03-21,2,75.43,150.86,Tarjeta de crédito,Completada
2390,385,94,2024-03-21,4,83.73,334.92,Transferencia,Completada
1031,270,44,2024-03-21,1,85.25,85.25,Billetera virtual,Completada
1335,358,16,2024-03-22,3,188.57,565.71,Tarjeta de débito,Completada
1613,35,76,2024-03-22,3,111.18,333.54,Tarjeta de crédito,Completada
1502,28,35,2024-03-22,3,840.54,2521.62,Tarjeta de crédito,Completada
1965,419,60,2024-03-23,3,176.61,529.83,Tarjeta de crédito,Completada
2296,223,9,2024-03-23,2,280.94,561.88,Tarjeta de crédito,Completada
349,223,14,2024-03-23,1,84.17,84.17,Tarjeta de crédito,Completada
2416,297,94,2024-03-23,3,83.73,251.19,Billetera virtual,Completada
1186,439,127,2024-03-24,4,354.42,1417.68,Tarjeta de crédito,Completada
655,48,26,2024-03-24,2,171.04,342.08,Tarjeta de débito,Completada
429,291,50,2024-03-24,2,169.82,339.64,Tarjeta de crédito,Completada
799,152,9,2024-03-25,3,280.94,842.82,Tarjeta de débito,Completada
2232,261,124,2024-03-25,4,37.77,151.08,Tarjeta de crédito,Completada
16,82,13,2024-03-26,1,218.14,218.14,Billetera virtual,Completada
2153,495,90,2024-03-26,1,52.39,52.39,Tarjeta de crédito,Completada
46,213,115,2024-03-27,2,384.44,768.88,Tarjeta de crédito,Completada
1759,120,39,2024-03-27,1,459.22,459.22,Tarjeta de crédito,Completada
2646,126,38,2024-03-27,3,93.08,279.24,Billetera virtual,Completada
2192,245,146,2024-03-27,1,183.15,183.15,Billetera virtual,Completada
2811,141,39,2024-03-28,4,459.22,1836.88,Tarjeta de crédito,Completada
1504,25,113,2024-03-28,2,261.05,522.1,Tarjeta de crédito,Completada
208,425,141,2024-03-29,3,608.51,1825.53,Billetera virtual,Completada
665,361,31,2024-03-29,3,72.17,216.51,Tarjeta de débito,Completada
2702,83,140,2024-03-30,4,580.95,2323.8,Tarjeta de crédito,Completada
1016,219,133,2024-03-31,4,713.32,2853.28,Tarjeta de crédito,Completada
2855,81,111,2024-03-31,3,312.56,937.68,Tarjeta de débito,Completada
2383,40,62,2024-04-01,3,127.13,381.39,Tarjeta de débito,Completada
235,208,62,2024-04-01,3,127.13,381.39,Billetera virtual,Completada
168,54,112,2024-04-02,2,79.2,158.4,Tarjeta de débito,Completada
1925,343,42,2024-04-02,2,136.43,272.86,Transferencia,Completada
2861,298,146,2024-04-02,4,183.15,732.6,Transferencia,Completada
2832,438,8,2024-04-02,4,129.5,518.0,Tarjeta de débito,Completada
2133,345,7,2024-04-03,3,44.62,133.86,Tarjeta de crédito,Completada
2197,37,62,2024-04-03,3,127.13,381.39,Tarjeta de crédito,Completada
275,179,114,2024-04-03,1,362.33,362.33,Tarjeta de débito,Completada
1219,229,102,2024-04-03,1,275.73,275.73,Tarjeta de crédito,Completada
1134,18,35,2024-04-04,4,840.54,3362.16,Tarjeta de crédito,Completada
445,175,99,2024-04-04,2,530.66,1061.32,Tarjeta de crédito,Completada
363,191,15,2024-04-04,2,75.43,150.86,Tarjeta de débito,Completada
80,389,1,2024-04-04,2,11.53,23.06,Tarjeta de crédito,Completada
1622,102,88,2024-04-04,4,53.48,213.92,Tarjeta de crédito,Completada
1000,240,17,2024-04-04,3,111.6,334.8,Billetera virtual,Completada
1623,148,41,2024-04-04,1,165.53,165.53,Tarjeta de crédito,Completada
1442,319,53,2024-04-04,3,317.15,951.45,Billetera virtual,Completada
2148,456,91,2024-04-04,2,1005.99,2011.98,Transferencia,Completada
492,4,118,2024-04-04,4,34.12,136.48,Transferencia,Completada
2442,448,10,2024-04-05,3,146.44,439.32,Tarjeta de débito,Completada
229,258,88,2024-04-05,4,53.48,213.92,Tarjeta de débito,Completada
1410,117,99,2024-04-05,4,530.66,2122.64,Tarjeta de crédito,Completada
641,264,18,2024-04-06,1,213.72,213.72,Tarjeta de crédito,Completada
2060,164,108,2024-04-06,2,340.46,680.92,Tarjeta de crédito,Completada
718,399,127,2024-04-06,2,354.42,708.84,Tarjeta de crédito,Completada
635,264,52,2024-04-06,4,83.1,332.4,Tarjeta de crédito,Completada
654,32,87,2024-04-06,3,167.49,502.47,Tarjeta de crédito,Completada
1617,164,86,2024-04-06,4,213.88,855.52,Tarjeta de crédito,Cancelada
2130,33,141,2024-04-06,1,608.51,608.51,Tarjeta de débito,Completada
1538,121,78,2024-04-07,4,273.68,1094.72,Tarjeta de crédito,Completada
1658,33,6,2024-04-07,2,134.96,269.92,Tarjeta de crédito,Completada
2761,235,92,2024-04-07,1,96.79,96.79,Tarjeta de crédito,Completada
1936,461,120,2024-04-07,1,206.18,206.18,Tarjeta de crédito,Completada
14,454,125,2024-04-08,2,116.4,232.8,Billetera virtual,Completada
1735,165,111,2024-04-08,1,312.56,312.56,Tarjeta de débito,Completada
820,330,7,2024-04-08,2,44.62,89.24,Tarjeta de crédito,Completada
2948,11,133,2024-04-08,3,713.32,2139.96,Tarjeta de crédito,Completada
1771,317,124,2024-04-09,2,37.77,75.54,Tarjeta de crédito,Completada
735,299,35,2024-04-09,1,840.54,840.54,Transferencia,Completada
1423,75,98,2024-04-10,3,265.91,797.73,Billetera virtual,Completada
854,487,89,2024-04-10,4,149.38,597.52,Transferencia,Completada
1576,258,87,2024-04-11,1,167.49,167.49,Billetera virtual,Completada
625,4,120,2024-04-11,2,206.18,412.36,Tarjeta de crédito,Completada
401,30,109,2024-04-11,3,34.85,104.55,Transferencia,Completada
2907,67,48,2024-04-12,1,97.9,97.9,Tarjeta de débito,Completada
301,250,62,2024-04-12,3,127.13,381.39,Billetera virtual,Completada
